RUID,CurrentBusStop,DestinationBusStop,Route,Date,Time
141364968,Science Building,Hill Center,B,03/21/2017,06:08
153224291,Library of Science,Werblin Back Entrance,B,03/21/2017,08:44
122991485,Quads,Livingston Plaza,B,03/21/2017,02:01
144173964,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,04:37
134598733,Hill Center,Werblin Back Entrance,B,03/21/2017,18:01
102942769,Science Building,Livingston Plaza,B,03/21/2017,03:09
103477700,Library of Science,Livingston Student Center,B,03/21/2017,00:45
122384745,Busch Suites,Library of Science,B,03/21/2017,14:03
133660818,Busch Student Center,Busch Student Center,B,03/21/2017,03:14
198385260,Livingston Plaza,Science Building,B,03/21/2017,00:39
105963294,Livingston Student Center,Quads,B,03/21/2017,01:50
111550783,Quads,Busch Suites,B,03/21/2017,14:34
170082850,Werblin Back Entrance,Hill Center,B,03/21/2017,18:17
194536976,Hill Center,Werblin Back Entrance,B,03/21/2017,06:37
172880857,Science Building,Livingston Plaza,B,03/21/2017,10:45
153475710,Library of Science,Livingston Student Center,B,03/21/2017,05:45
198335393,Busch Suites,Library of Science,B,03/21/2017,10:00
169398471,Busch Student Center,Busch Student Center,B,03/21/2017,14:56
132388742,Livingston Plaza,Science Building,B,03/21/2017,01:29
120639712,Livingston Student Center,Quads,B,03/21/2017,17:57
194164837,Quads,Busch Suites,B,03/21/2017,05:24
104642669,Werblin Back Entrance,Hill Center,B,03/21/2017,14:50
110251689,Hill Center,Werblin Back Entrance,B,03/21/2017,00:48
166655214,Science Building,Livingston Plaza,B,03/21/2017,22:14
136131677,Library of Science,Livingston Student Center,B,03/21/2017,08:09
177790119,Quads,Library of Science,B,03/21/2017,16:35
151070759,Werblin Back Entrance,Busch Student Center,B,03/21/2017,10:35
161815262,Hill Center,Science Building,B,03/21/2017,09:49
159848040,Science Building,Quads,B,03/21/2017,10:42
102176845,Library of Science,Busch Suites,B,03/21/2017,12:53
173491462,Busch Suites,Hill Center,B,03/21/2017,20:56
163297557,Busch Student Center,Werblin Back Entrance,B,03/21/2017,14:29
195461141,Livingston Plaza,Livingston Plaza,B,03/21/2017,07:00
165417953,Livingston Student Center,Livingston Student Center,B,03/21/2017,06:05
101951817,Quads,Library of Science,B,03/21/2017,16:58
119089605,Werblin Back Entrance,Busch Student Center,B,03/21/2017,08:05
196161041,Hill Center,Science Building,B,03/21/2017,20:29
185570513,Science Building,Quads,B,03/21/2017,05:59
194000520,Library of Science,Busch Suites,B,03/21/2017,18:10
133445069,Busch Suites,Hill Center,B,03/21/2017,00:34
166135719,Busch Student Center,Werblin Back Entrance,B,03/21/2017,08:24
185473531,Livingston Plaza,Livingston Plaza,B,03/21/2017,09:42
143118146,Livingston Student Center,Livingston Student Center,B,03/21/2017,07:10
171968175,Quads,Werblin Back Entrance,B,03/21/2017,04:25
108135005,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,15:47
122590325,Hill Center,Livingston Student Center,B,03/21/2017,18:22
130685104,Science Building,Library of Science,B,03/21/2017,22:47
185797610,Library of Science,Busch Student Center,B,03/21/2017,11:19
111600770,Quads,Science Building,B,03/21/2017,14:52
168359667,Werblin Back Entrance,Quads,B,03/21/2017,06:14
156697130,Hill Center,Busch Suites,B,03/21/2017,17:48
139235788,Science Building,Hill Center,B,03/21/2017,10:06
159818896,Library of Science,Werblin Back Entrance,B,03/21/2017,01:48
157286913,Busch Suites,Livingston Plaza,B,03/21/2017,11:49
149124818,Busch Student Center,Livingston Student Center,B,03/21/2017,08:39
131581135,Livingston Plaza,Library of Science,B,03/21/2017,09:45
176915948,Livingston Student Center,Busch Student Center,B,03/21/2017,09:32
154707209,Quads,Science Building,B,03/21/2017,12:34
158949065,Werblin Back Entrance,Quads,B,03/21/2017,09:08
195352386,Hill Center,Busch Suites,B,03/21/2017,05:17
109390440,Science Building,Hill Center,B,03/21/2017,11:43
119759649,Library of Science,Werblin Back Entrance,B,03/21/2017,10:51
194897134,Busch Suites,Livingston Plaza,B,03/21/2017,10:59
120618432,Busch Student Center,Livingston Student Center,B,03/21/2017,22:39
177629930,Livingston Plaza,Library of Science,B,03/21/2017,23:13
159957313,Livingston Student Center,Busch Student Center,B,03/21/2017,09:05
164650691,Quads,Science Building,B,03/21/2017,21:20
127753293,Werblin Back Entrance,Quads,B,03/21/2017,23:23
163927948,Hill Center,Busch Suites,B,03/21/2017,02:44
178846338,Science Building,Hill Center,B,03/21/2017,23:50
128182260,Library of Science,Werblin Back Entrance,B,03/21/2017,17:35
162097130,Quads,Livingston Plaza,B,03/21/2017,08:33
188809781,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,11:33
111693893,Hill Center,Library of Science,B,03/21/2017,12:24
123166894,Science Building,Busch Student Center,B,03/21/2017,18:07
104075593,Library of Science,Science Building,B,03/21/2017,08:21
111883694,Busch Suites,Quads,B,03/21/2017,18:17
173997427,Busch Student Center,Busch Suites,B,03/21/2017,19:03
163272643,Livingston Plaza,Hill Center,B,03/21/2017,23:46
153015823,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,08:27
119446525,Quads,Livingston Plaza,B,03/21/2017,11:40
115799707,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,04:51
143720358,Hill Center,Werblin Back Entrance,B,03/21/2017,13:48
148436902,Science Building,Livingston Plaza,B,03/21/2017,02:03
181015434,Library of Science,Livingston Student Center,B,03/21/2017,04:20
100902303,Busch Suites,Library of Science,B,03/21/2017,05:40
199846627,Busch Student Center,Busch Student Center,B,03/21/2017,21:07
125736686,Livingston Plaza,Science Building,B,03/21/2017,02:37
139716718,Livingston Student Center,Quads,B,03/21/2017,12:19
128664672,Quads,Busch Suites,B,03/21/2017,12:40
180973858,Werblin Back Entrance,Hill Center,B,03/21/2017,04:37
145549222,Hill Center,Werblin Back Entrance,B,03/21/2017,10:28
179409220,Science Building,Livingston Plaza,B,03/21/2017,14:27
148971103,Library of Science,Livingston Student Center,B,03/21/2017,00:36
174198901,Quads,Library of Science,B,03/21/2017,22:38
193233726,Werblin Back Entrance,Busch Student Center,B,03/21/2017,03:40
128731919,Hill Center,Science Building,B,03/21/2017,11:04
149604444,Science Building,Quads,B,03/21/2017,16:25
184438697,Library of Science,Busch Suites,B,03/21/2017,03:15
134097528,Busch Suites,Hill Center,B,03/21/2017,18:48
185267643,Busch Student Center,Werblin Back Entrance,B,03/21/2017,17:17
179179475,Livingston Plaza,Livingston Plaza,B,03/21/2017,13:44
127504703,Livingston Student Center,Livingston Student Center,B,03/21/2017,19:29
120229170,Quads,Library of Science,B,03/21/2017,11:26
122956911,Werblin Back Entrance,Busch Student Center,B,03/21/2017,07:32
140622397,Hill Center,Science Building,B,03/21/2017,15:51
164697510,Science Building,Quads,B,03/21/2017,01:33
176185804,Library of Science,Busch Suites,B,03/21/2017,05:56
121138231,Busch Suites,Hill Center,B,03/21/2017,06:10
102900397,Busch Student Center,Werblin Back Entrance,B,03/21/2017,16:11
171256397,Livingston Plaza,Livingston Plaza,B,03/21/2017,18:15
106461280,Livingston Student Center,Livingston Student Center,B,03/21/2017,11:06
119663916,Quads,Library of Science,B,03/21/2017,01:32
151383413,Werblin Back Entrance,Busch Student Center,B,03/21/2017,20:58
196801950,Hill Center,Science Building,B,03/21/2017,06:56
138217092,Science Building,Quads,B,03/21/2017,00:27
105843968,Library of Science,Busch Suites,B,03/21/2017,20:15
176655255,Quads,Hill Center,B,03/21/2017,09:51
169568061,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,21:39
164276930,Hill Center,Livingston Plaza,B,03/21/2017,09:24
125751367,Science Building,Livingston Student Center,B,03/21/2017,09:21
193253387,Library of Science,Werblin Back Entrance,B,03/21/2017,07:38
169422150,Busch Suites,Livingston Plaza,B,03/21/2017,11:30
187178575,Busch Student Center,Livingston Student Center,B,03/21/2017,04:34
117966174,Livingston Plaza,Library of Science,B,03/21/2017,08:47
170263308,Livingston Student Center,Busch Student Center,B,03/21/2017,22:10
146901800,Quads,Science Building,B,03/21/2017,05:42
160926786,Werblin Back Entrance,Quads,B,03/21/2017,21:17
195070146,Hill Center,Busch Suites,B,03/21/2017,17:14
185662132,Science Building,Hill Center,B,03/21/2017,00:59
126317148,Library of Science,Werblin Back Entrance,B,03/21/2017,00:12
157358670,Busch Suites,Livingston Plaza,B,03/21/2017,03:29
114635640,Busch Student Center,Livingston Student Center,B,03/21/2017,02:25
104008453,Livingston Plaza,Library of Science,B,03/21/2017,01:53
162778594,Livingston Student Center,Busch Student Center,B,03/21/2017,03:40
156775498,Quads,Science Building,B,03/21/2017,15:23
114837780,Werblin Back Entrance,Quads,B,03/21/2017,04:37
106582182,Hill Center,Busch Suites,B,03/21/2017,20:53
196571241,Science Building,Hill Center,B,03/21/2017,05:26
149787634,Library of Science,Werblin Back Entrance,B,03/21/2017,08:07
181768711,Quads,Livingston Plaza,B,03/21/2017,22:33
157161238,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,12:59
108986542,Hill Center,Library of Science,B,03/21/2017,12:58
106699616,Science Building,Busch Student Center,B,03/21/2017,03:41
142185970,Library of Science,Science Building,B,03/21/2017,13:29
163975146,Busch Suites,Quads,B,03/21/2017,11:15
148562225,Busch Student Center,Busch Suites,B,03/21/2017,13:42
151457636,Livingston Plaza,Hill Center,B,03/21/2017,17:20
102556359,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,09:41
116978089,Quads,Livingston Plaza,B,03/21/2017,15:10
155198961,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,16:40
160730514,Hill Center,Library of Science,B,03/21/2017,06:01
110242449,Science Building,Busch Student Center,B,03/21/2017,23:25
186733399,Library of Science,Science Building,B,03/21/2017,19:47
105477898,Busch Suites,Quads,B,03/21/2017,04:34
189585331,Busch Student Center,Busch Suites,B,03/21/2017,09:42
118790681,Livingston Plaza,Hill Center,B,03/21/2017,16:21
149801222,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,01:22
116694928,Quads,Livingston Plaza,B,03/21/2017,07:03
102823272,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,23:25
155457560,Hill Center,Werblin Back Entrance,B,03/21/2017,14:11
101481622,Science Building,Livingston Plaza,B,03/21/2017,23:12
175329324,Library of Science,Livingston Student Center,B,03/21/2017,19:39
143712649,Quads,Library of Science,B,03/21/2017,12:17
138580288,Werblin Back Entrance,Busch Student Center,B,03/21/2017,15:39
193929517,Hill Center,Science Building,B,03/21/2017,18:55
190650304,Science Building,Quads,B,03/21/2017,23:48
156282738,Library of Science,Busch Suites,B,03/21/2017,02:27
186985841,Busch Suites,Hill Center,B,03/21/2017,02:22
170371906,Busch Student Center,Werblin Back Entrance,B,03/21/2017,00:02
184581040,Livingston Plaza,Livingston Plaza,B,03/21/2017,06:07
173819289,Livingston Student Center,Livingston Student Center,B,03/21/2017,02:49
186178958,Quads,Library of Science,B,03/21/2017,21:29
123657025,Werblin Back Entrance,Busch Student Center,B,03/21/2017,18:15
122048177,Hill Center,Science Building,B,03/21/2017,01:41
196201825,Science Building,Quads,B,03/21/2017,19:41
127262203,Library of Science,Busch Suites,B,03/21/2017,08:44
123674772,Busch Suites,Hill Center,B,03/21/2017,07:26
167551704,Busch Student Center,Werblin Back Entrance,B,03/21/2017,03:31
105865748,Livingston Plaza,Livingston Plaza,B,03/21/2017,18:51
111567357,Livingston Student Center,Livingston Student Center,B,03/21/2017,08:34
122639782,Quads,Library of Science,B,03/21/2017,15:53
165996783,Werblin Back Entrance,Busch Student Center,B,03/21/2017,22:59
118027588,Hill Center,Science Building,B,03/21/2017,11:24
114066846,Science Building,Quads,B,03/21/2017,17:24
169880840,Library of Science,Busch Suites,B,03/21/2017,10:04
149910321,Quads,Hill Center,B,03/21/2017,18:49
169128800,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,03:03
141832711,Hill Center,Livingston Plaza,B,03/21/2017,04:08
124161773,Science Building,Livingston Student Center,B,03/21/2017,15:03
140292770,Library of Science,Library of Science,B,03/21/2017,06:33
130584634,Busch Suites,Busch Student Center,B,03/21/2017,02:53
181006641,Busch Student Center,Science Building,B,03/21/2017,02:39
145873546,Livingston Plaza,Quads,B,03/21/2017,16:30
192683325,Livingston Student Center,Busch Suites,B,03/21/2017,01:42
163162872,Quads,Hill Center,B,03/21/2017,07:42
110705761,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,12:30
198446041,Hill Center,Livingston Plaza,B,03/21/2017,19:59
119996376,Science Building,Livingston Student Center,B,03/21/2017,02:02
142417792,Library of Science,Werblin Back Entrance,B,03/21/2017,23:28
180589266,Busch Suites,Livingston Plaza,B,03/21/2017,09:02
121835722,Busch Student Center,Livingston Student Center,B,03/21/2017,05:48
190030962,Livingston Plaza,Library of Science,B,03/21/2017,21:05
121604258,Livingston Student Center,Busch Student Center,B,03/21/2017,13:06
114843370,Quads,Science Building,B,03/21/2017,07:53
101928033,Werblin Back Entrance,Quads,B,03/21/2017,13:22
180843199,Hill Center,Busch Suites,B,03/21/2017,13:37
120154697,Science Building,Hill Center,B,03/21/2017,05:39
113940557,Library of Science,Werblin Back Entrance,B,03/21/2017,04:05
159436639,Quads,Livingston Plaza,B,03/21/2017,13:56
154204453,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,18:33
153245252,Hill Center,Library of Science,B,03/21/2017,22:18
196121622,Science Building,Busch Student Center,B,03/21/2017,23:01
173258028,Library of Science,Science Building,B,03/21/2017,12:53
110408504,Busch Suites,Quads,B,03/21/2017,15:25
195714791,Busch Student Center,Busch Suites,B,03/21/2017,18:55
177270235,Livingston Plaza,Hill Center,B,03/21/2017,21:19
160042223,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,13:31
160028520,Quads,Livingston Plaza,B,03/21/2017,15:08
196366908,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,08:00
111762097,Hill Center,Library of Science,B,03/21/2017,12:35
186528307,Science Building,Busch Student Center,B,03/21/2017,00:58
192525882,Library of Science,Science Building,B,03/21/2017,13:41
141516320,Busch Suites,Quads,B,03/21/2017,18:36
105028338,Busch Student Center,Busch Suites,B,03/21/2017,05:22
160996580,Livingston Plaza,Hill Center,B,03/21/2017,21:10
185930665,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,03:38
197662601,Quads,Livingston Plaza,B,03/21/2017,06:34
120564400,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,09:37
177170903,Hill Center,Library of Science,B,03/21/2017,10:25
149879957,Science Building,Busch Student Center,B,03/21/2017,20:58
168049038,Library of Science,Science Building,B,03/21/2017,06:49
122584998,Quads,Quads,B,03/21/2017,15:16
180652299,Werblin Back Entrance,Busch Suites,B,03/21/2017,07:37
121812985,Hill Center,Hill Center,B,03/21/2017,16:19
131831513,Science Building,Werblin Back Entrance,B,03/21/2017,23:38
138198640,Library of Science,Livingston Plaza,B,03/21/2017,01:39
158997696,Busch Suites,Livingston Student Center,B,03/21/2017,06:36
154120360,Busch Student Center,Werblin Back Entrance,B,03/21/2017,16:10
192414843,Livingston Plaza,Livingston Plaza,B,03/21/2017,11:03
192755202,Livingston Student Center,Livingston Student Center,B,03/21/2017,11:54
156451849,Quads,Library of Science,B,03/21/2017,03:21
122589731,Werblin Back Entrance,Busch Student Center,B,03/21/2017,04:24
154007990,Hill Center,Science Building,B,03/21/2017,21:33
128210199,Science Building,Quads,B,03/21/2017,13:24
100734153,Library of Science,Busch Suites,B,03/21/2017,18:12
168280149,Busch Suites,Hill Center,B,03/21/2017,16:23
199596098,Busch Student Center,Werblin Back Entrance,B,03/21/2017,11:54
115298535,Livingston Plaza,Livingston Plaza,B,03/21/2017,23:19
178575082,Livingston Student Center,Livingston Student Center,B,03/21/2017,18:03
191472474,Quads,Library of Science,B,03/21/2017,22:17
119730841,Werblin Back Entrance,Busch Student Center,B,03/21/2017,06:36
194748849,Hill Center,Science Building,B,03/21/2017,00:20
169529866,Science Building,Quads,B,03/21/2017,17:58
107819317,Library of Science,Busch Suites,B,03/21/2017,09:18
102913352,Quads,Hill Center,B,03/21/2017,02:18
153492481,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,18:23
138227285,Hill Center,Livingston Plaza,B,03/21/2017,10:01
153533322,Science Building,Livingston Student Center,B,03/21/2017,16:31
195038142,Library of Science,Library of Science,B,03/21/2017,21:33
192727977,Busch Suites,Busch Student Center,B,03/21/2017,03:09
119541915,Busch Student Center,Science Building,B,03/21/2017,09:13
150920573,Livingston Plaza,Quads,B,03/21/2017,21:04
162982281,Livingston Student Center,Busch Suites,B,03/21/2017,14:44
110491904,Quads,Hill Center,B,03/21/2017,03:04
175564104,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,13:43
158354825,Hill Center,Livingston Plaza,B,03/21/2017,23:29
143328004,Science Building,Livingston Student Center,B,03/21/2017,20:55
106028929,Library of Science,Library of Science,B,03/21/2017,05:56
134463599,Busch Suites,Busch Student Center,B,03/21/2017,05:29
108801963,Busch Student Center,Science Building,B,03/21/2017,21:12
106912867,Livingston Plaza,Quads,B,03/21/2017,03:12
153833921,Livingston Student Center,Busch Suites,B,03/21/2017,16:37
195916670,Quads,Hill Center,B,03/21/2017,10:02
197246209,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,14:16
115505420,Hill Center,Livingston Plaza,B,03/21/2017,02:30
128817501,Science Building,Livingston Student Center,B,03/21/2017,14:23
149691183,Library of Science,Werblin Back Entrance,B,03/21/2017,05:38
131135212,Quads,Livingston Plaza,B,03/21/2017,08:11
166011220,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,23:08
189516478,Hill Center,Library of Science,B,03/21/2017,04:13
113980387,Science Building,Busch Student Center,B,03/21/2017,12:14
194480149,Library of Science,Science Building,B,03/21/2017,12:44
193002842,Busch Suites,Quads,B,03/21/2017,19:59
124723764,Busch Student Center,Busch Suites,B,03/21/2017,06:21
196371255,Livingston Plaza,Hill Center,B,03/21/2017,04:09
162626360,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,00:38
117385119,Quads,Livingston Plaza,B,03/21/2017,23:58
183816328,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,21:22
154988990,Hill Center,Library of Science,B,03/21/2017,21:01
121998066,Science Building,Busch Student Center,B,03/21/2017,10:53
105450157,Library of Science,Science Building,B,03/21/2017,12:21
153130607,Busch Suites,Quads,B,03/21/2017,05:07
107318527,Busch Student Center,Busch Suites,B,03/21/2017,04:58
111757368,Livingston Plaza,Hill Center,B,03/21/2017,16:00
163998774,Livingston Student Center,Werblin Back Entrance,B,03/21/2017,07:38
189649681,Quads,Livingston Plaza,B,03/21/2017,00:25
167607219,Werblin Back Entrance,Livingston Student Center,B,03/21/2017,16:58
180979351,Hill Center,Library of Science,B,03/21/2017,08:03
117878509,Science Building,Busch Student Center,B,03/21/2017,18:32
188968700,Library of Science,Science Building,B,03/21/2017,16:04
141752966,Quads,Quads,B,03/21/2017,14:05
167091513,Werblin Back Entrance,Busch Suites,B,03/21/2017,20:53
153357871,Hill Center,Hill Center,B,03/21/2017,01:18
123830492,Science Building,Werblin Back Entrance,B,03/21/2017,05:46
132221143,Library of Science,Livingston Plaza,B,03/21/2017,00:23
195455071,Busch Suites,Livingston Student Center,B,03/21/2017,02:28
157460140,Busch Student Center,Library of Science,B,03/21/2017,10:01
112500458,Livingston Plaza,Busch Student Center,B,03/21/2017,09:52
148899329,Livingston Student Center,Science Building,B,03/21/2017,13:48
172536499,Quads,Quads,B,03/21/2017,01:48
177223568,Werblin Back Entrance,Busch Suites,B,03/21/2017,23:46
193231380,Hill Center,Hill Center,B,03/21/2017,16:15
199944272,Science Building,Werblin Back Entrance,B,03/21/2017,15:59
147416002,Library of Science,Livingston Plaza,B,03/21/2017,06:56
123690471,Busch Suites,Livingston Student Center,B,03/21/2017,03:57
166050751,Busch Student Center,Werblin Back Entrance,B,03/21/2017,10:40
156669717,Livingston Plaza,Livingston Plaza,B,03/21/2017,07:01
145032456,Livingston Student Center,Livingston Student Center,B,03/21/2017,04:10
127539179,Quads,Library of Science,B,03/21/2017,09:58
131732373,Werblin Back Entrance,Busch Student Center,B,03/21/2017,13:27
142133180,Hill Center,Science Building,B,03/21/2017,13:16
172578661,Science Building,Quads,B,03/21/2017,01:15
187604981,Library of Science,Busch Suites,B,03/21/2017,14:36
186572751,Quads,Hill Center,B,03/21/2017,02:14
191774163,Werblin Back Entrance,Werblin Back Entrance,B,03/21/2017,17:57
192819736,Hill Center,Livingston Plaza,B,03/21/2017,19:21
173835619,Science Building,Livingston Student Center,B,03/21/2017,06:24
165048142,Library of Science,Library of Science,B,03/21/2017,23:48
148906140,Busch Suites,Busch Student Center,B,03/21/2017,20:48
